run,turn,card_id,choice,resources,security,moral,progress
3,44,21,1,11,110,-15,71
3,45,16,0,1,115,-15,71
3,46,3,0,16,115,-20,71
3,47,14,0,16,115,-20,76
3,48,5,0,11,115,-15,76
3,49,11,0,6,115,-15,78
3,50,18,0,-19,115,-15,88
3,51,13,1,-14,120,-15,88
3,52,29,0,-24,120,-10,88
3,53,10,1,-4,120,-20,88
3,54,42,0,-12,120,-20,98
3,55,26,1,-2,120,-25,98
3,56,15,0,18,115,-25,98
3,57,38,0,13,120,-25,98
3,58,12,1,18,120,-25,98
3,59,9,1,23,120,-25,98
3,60,5,0,18,120,-20,98
3,61,4,1,28,120,-20,93
3,62,20,1,28,125,-35,93
3,63,23,1,38,125,-40,93
3,64,14,0,38,125,-40,98
3,65,28,1,48,125,-40,98
3,66,24,0,43,125,-35,98
3,67,39,0,36,130,-35,98
3,68,6,1,28,130,-35,103
3,69,3,0,43,130,-40,103
3,70,1,1,35,130,-35,103
3,71,10,0,30,135,-35,103
3,72,17,1,15,135,-25,103
3,73,5,0,10,135,-20,103
3,74,38,0,5,140,-20,103
3,75,13,0,5,140,-20,108
3,76,12,1,10,140,-20,108
3,77,7,0,-5,145,-20,108
3,78,27,1,-5,150,-25,108
3,79,40,1,-5,140,-15,108
3,80,23,0,-10,130,-15,113
3,81,44,0,-10,130,-5,118
3,82,25,1,-10,135,-15,118
3,83,19,0,-30,135,-5,128
3,84,16,0,-40,140,-5,128
3,85,2,0,-50,140,0,128
3,86,14,0,-50,140,0,133
3,87,12,1,-45,140,0,133
3,88,30,1,-45,140,10,133
3,89,20,1,-45,145,-5,133
3,90,37,0,-57,155,-5,133
3,91,4,1,-47,155,-5,128
3,92,27,0,-37,140,-5,128
3,93,32,1,-37,130,10,128
3,94,28,0,-47,130,20,128
3,95,9,0,-52,130,20,133
3,96,16,1,-52,130,10,133
3,97,17,0,-72,140,10,133
3,98,13,1,-67,145,10,133
3,99,22,0,-72,145,15,133
4,0,9,1,55,50,50,50
4,1,20,1,55,55,35,50
4,2,14,0,55,55,35,55
4,3,2,1,60,55,25,55
4,4,3,1,53,55,25,60
4,5,24,0,48,55,30,60
4,6,16,0,38,60,30,60
4,7,15,0,58,55,30,60
4,8,45,0,58,55,30,65
4,9,10,0,53,60,30,65
4,10,31,0,53,65,20,65
4,11,18,1,63,65,20,65
4,12,32,1,63,55,35,65
4,13,1,0,73,55,20,65
4,14,46,0,66,55,20,70
4,15,36,0,66,50,20,72
4,16,5,0,61,50,25,72
4,17,38,1,66,50,25,72
4,18,25,0,66,45,35,72
4,19,23,0,61,35,35,77
4,20,10,0,56,40,35,77
4,21,11,0,51,40,35,79
4,22,14,1,51,45,35,79
4,23,21,1,51,50,20,79
4,24,44,1,56,50,20,79
4,25,15,1,56,55,20,79
4,26,6,1,48,55,20,84
4,27,8,1,38,55,20,89
4,28,26,0,33,55,20,94
4,29,9,0,28,55,20,99
4,30,25,1,28,60,10,99
4,31,28,0,18,60,20,99
4,32,45,0,18,60,20,104
4,33,41,1,23,50,20,104
4,34,33,0,53,50,20,104
4,35,14,0,53,50,20,109
4,36,19,0,33,50,30,119
4,37,36,0,33,45,30,121
4,38,37,0,21,55,30,121
4,39,15,0,41,50,30,121
4,40,1,0,51,50,15,121
4,41,16,1,51,50,5,121
4,42,26,1,61,50,0,121
4,43,10,0,56,55,0,121
4,44,46,1,61,55,0,116
4,45,4,1,71,55,0,111
4,46,44,1,76,55,0,111
4,47,48,0,66,55,0,116
4,48,2,1,71,55,-10,116
4,49,39,1,76,55,-10,111
4,50,11,1,81,55,-10,111
4,51,9,1,86,55,-10,111
4,52,34,1,101,55,-10,111
4,53,1,0,111,55,-25,111
4,54,12,0,106,65,-25,111
4,55,25,0,106,60,-15,111
4,56,3,0,121,60,-20,111
4,57,41,1,126,50,-20,111
4,58,10,1,146,50,-30,111
4,59,26,0,141,50,-30,116
4,60,13,0,141,50,-30,121
4,61,7,0,126,55,-30,121
4,62,38,1,131,55,-30,121
4,63,4,0,116,60,-30,121
4,64,16,0,106,65,-30,121
4,65,47,1,106,65,-30,136
4,66,42,1,106,70,-30,136
4,67,46,0,99,70,-30,141
4,68,35,1,99,60,-20,141
4,69,9,1,104,60,-20,141
4,70,41,1,109,50,-20,141
4,71,20,0,104,50,-5,141
4,72,44,0,104,50,5,146
4,73,48,0,94,50,5,151
4,74,39,1,99,50,5,146
4,75,21,0,94,50,20,146
4,76,26,1,104,50,15,146
4,77,11,0,99,50,15,148
4,78,22,1,99,55,5,148
4,79,38,1,104,55,5,148
4,80,25,0,104,50,15,148
4,81,2,1,109,50,5,148
4,82,46,1,114,50,5,143
4,83,4,0,99,55,5,143
4,84,12,1,104,55,5,143
4,85,3,1,97,55,5,148
4,86,14,1,97,60,5,148
4,87,18,0,72,60,5,158
4,88,5,1,77,60,-5,158
4,89,37,0,65,70,-5,158
4,90,10,1,85,70,-15,158
4,91,40,1,85,60,-5,158
4,92,27,0,95,45,-5,158
4,93,13,0,95,45,-5,163
4,94,41,0,85,55,-5,163
4,95,20,1,85,60,-20,163
4,96,15,0,105,55,-20,163
4,97,4,0,90,60,-20,163
4,98,14,0,90,60,-20,168
4,99,7,0,75,65,-20,168
5,0,12,1,55,50,50,50
5,1,38,1,60,50,50,50
5,2,4,1,70,50,50,45
5,3,36,0,70,45,50,47
5,4,28,0,60,45,60,47
5,5,2,1,65,45,50,47
5,6,9,0,60,45,50,52
5,7,43,0,80,45,40,52
5,8,41,1,85,35,40,52
5,9,10,1,105,35,30,52
5,10,20,1,105,40,15,52
5,11,26,1,115,40,10,52
5,12,25,0,115,35,20,52
5,13,16,0,105,40,20,52
