run,turn,card_id,choice,wealth,morale,stability,progress
6,80,23,0,-100,305,-30,310
6,81,6,0,-90,305,-35,310
6,82,46,0,-100,305,-35,325
6,83,5,0,-110,305,-30,325
6,84,2,0,-120,305,-10,325
6,85,39,0,-130,320,-10,325
6,86,36,1,-130,330,-10,325
6,87,3,1,-140,330,-10,335
6,88,5,0,-150,330,-5,335
6,89,11,1,-145,330,-5,335
6,90,38,0,-155,340,-5,335
6,91,36,1,-155,350,-5,335
6,92,15,1,-155,355,-5,335
6,93,20,0,-165,355,10,335
6,94,42,0,-180,355,10,350
6,95,10,0,-190,365,10,350
6,96,4,1,-180,365,10,350
6,97,5,0,-190,365,15,350
6,98,26,0,-200,365,15,360
6,99,30,0,-200,365,5,385
7,0,4,1,60,50,50,50
7,1,3,1,50,50,50,60
7,2,13,1,55,55,50,60
7,3,27,0,65,45,50,60
7,4,14,1,65,55,50,60
7,5,10,1,80,55,40,60
7,6,46,1,85,55,40,60
7,7,13,1,90,60,40,60
7,8,38,1,95,60,40,60
7,9,21,0,85,60,60,60
7,10,31,0,85,70,50,60
7,11,19,0,85,70,50,60
7,12,2,0,75,70,70,60
7,13,29,0,55,70,75,60
7,14,25,0,55,65,75,60
7,15,24,0,50,65,75,60
7,16,20,1,50,75,60,60
7,17,46,1,55,75,60,60
7,18,16,1,55,75,50,60
7,19,38,1,60,75,50,60
7,20,26,0,50,75,50,70
7,21,10,0,40,85,50,70
7,22,29,0,20,85,55,70
7,23,7,0,5,95,55,70
7,24,18,0,-25,95,55,100
7,25,28,1,-15,95,55,100
7,26,19,1,-15,95,55,100
7,27,12,0,-20,105,55,100
7,28,3,0,-5,105,50,100
7,29,24,1,0,105,50,100
7,30,47,1,0,105,50,100
7,31,26,0,-10,105,50,110
7,32,19,0,-10,105,50,110
7,33,38,0,-20,115,50,110
7,34,44,1,-15,115,50,110
7,35,16,0,-30,125,50,110
7,36,18,1,-20,125,50,110
7,37,46,1,-15,125,50,110
7,38,40,1,-15,115,60,110
7,39,19,0,-15,115,60,110
7,40,9,0,-25,115,60,115
7,41,27,0,-15,105,60,115
7,42,43,1,-15,105,65,110
7,43,16,0,-30,115,65,110
7,44,45,1,-30,125,65,110
7,45,30,0,-30,125,55,135
7,46,37,0,-45,145,55,135
7,47,11,0,-50,145,55,135
7,48,39,0,-60,160,55,135
7,49,6,0,-50,160,50,135
7,50,10,1,-35,160,40,135
7,51,7,1,-30,160,40,135
7,52,27,0,-20,150,40,135
7,53,12,1,-15,150,40,135
7,54,24,1,-10,150,40,135
7,55,23,0,-20,150,40,145
7,56,7,1,-15,150,40,145
7,57,1,1,-25,150,40,150
7,58,28,1,-15,150,40,150
7,59,15,1,-15,155,40,150
7,60,17,1,-45,155,55,150
7,61,27,0,-35,145,55,150
7,62,12,1,-30,145,55,150
7,63,5,0,-40,145,60,150
7,64,37,1,-30,145,60,150
7,65,22,1,-30,150,50,150
7,66,1,0,-20,150,40,150
7,67,4,0,-35,165,40,150
7,68,11,1,-30,165,40,150
7,69,2,1,-25,165,30,150
7,70,3,0,-10,165,25,150
7,71,42,1,-10,170,25,150
7,72,29,1,-10,190,5,150
7,73,27,0,0,180,5,150
7,74,38,0,-10,190,5,150
7,75,40,0,-10,200,-5,150
7,76,18,0,-40,200,-5,180
7,77,46,1,-35,200,-5,180
7,78,41,0,-45,215,-5,180
7,79,7,1,-40,215,-5,180
7,80,6,0,-30,215,-10,180
7,81,11,0,-35,215,-10,180
7,82,3,1,-45,215,-10,190
7,83,44,1,-40,215,-10,190
7,84,8,1,-55,215,-10,200
7,85,41,1,-50,205,-10,200
7,86,43,1,-50,205,-5,195
7,87,39,1,-45,205,-5,195
7,88,9,1,-40,205,-5,195
7,89,42,0,-55,205,-5,210
7,90,10,0,-65,215,-5,210
7,91,25,1,-65,225,-5,210
7,92,21,0,-75,225,15,210
7,93,20,0,-85,225,30,210
7,94,15,0,-70,220,30,210
7,95,27,1,-70,235,25,210
7,96,47,1,-70,235,25,210
7,97,42,0,-85,235,25,225
7,98,23,0,-95,235,25,235
7,99,36,1,-95,245,25,235
8,0,57,1,50,60,50,50
8,1,4,0,35,75,50,50
8,2,18,0,5,75,50,80
8,3,24,0,0,75,50,80
8,4,42,1,0,80,50,80
8,5,38,0,-10,90,50,80
8,6,26,1,0,90,45,80
8,7,22,0,-10,90,55,80
8,8,45,1,-10,100,55,80
8,9,3,0,5,100,50,80
8,10,23,0,-5,100,50,90
8,11,21,0,-15,100,70,90
8,12,38,1,-10,100,70,90
8,13,5,0,-20,100,75,90
8,14,6,0,-10,100,70,90
8,15,36,1,-10,110,70,90
8,16,45,1,-10,120,70,90
8,17,44,1,-5,120,70,90
8,18,29,0,-25,120,75,90
8,19,14,1,-25,130,75,90
8,20,1,1,-35,130,75,95
8,21,19,1,-35,130,75,95
8,22,44,0,-35,130,85,105
8,23,42,1,-35,135,85,105
8,24,11,0,-40,135,85,105
8,25,41,0,-50,150,85,105
8,26,27,1,-50,165,80,105
