run,turn,card_id,choice,resources,moral,stability,progress
0,58,23,0,-90,170,25,285
0,59,27,0,-80,160,25,285
0,60,13,0,-80,160,25,305
0,61,12,0,-85,170,25,305
0,62,19,0,-85,170,25,305
0,63,13,0,-85,170,25,325
0,64,44,1,-80,170,25,325
0,65,25,1,-80,180,25,325
0,66,29,1,-80,200,5,325
0,67,27,0,-70,190,5,325
0,68,46,0,-80,190,5,340
0,69,23,0,-90,190,5,350
0,70,3,1,-100,190,5,360
0,71,5,0,-110,190,10,360
0,72,27,1,-110,205,5,360
0,73,5,0,-120,205,10,360
0,74,41,1,-115,195,10,360
0,75,13,1,-110,200,10,360
0,76,20,0,-120,200,25,360
0,77,7,1,-115,200,25,360
0,78,30,0,-115,200,15,385
0,79,18,0,-145,200,15,415
0,80,10,1,-130,200,5,415
0,81,40,0,-130,210,-5,415
0,82,16,0,-145,220,-5,415
0,83,29,0,-165,220,0,415
0,84,23,1,-165,225,-5,415
0,85,30,1,-165,225,5,415
0,86,26,1,-155,225,0,415
0,87,24,0,-160,225,0,415
0,88,27,1,-160,240,-5,415
0,89,29,0,-180,240,0,415
0,90,15,1,-180,245,0,415
0,91,3,0,-165,245,-5,415
0,92,14,0,-165,245,-5,425
0,93,2,0,-175,245,15,425
0,94,5,0,-185,245,20,425
0,95,10,0,-195,255,20,425
0,96,24,0,-200,255,20,425
0,97,36,0,-200,250,20,440
0,98,11,0,-205,250,20,440
0,99,30,0,-205,250,10,465
1,0,36,0,50,45,50,65
1,1,36,0,50,40,50,80
1,2,36,0,50,35,50,95
1,3,8,0,50,40,40,95
1,4,22,1,50,45,30,95
1,5,39,1,55,45,30,95
1,6,1,1,45,45,30,100
1,7,42,1,45,50,30,100
1,8,29,0,25,50,35,100
1,9,6,0,35,50,30,100
1,10,23,1,35,55,25,100
1,11,38,1,40,55,25,100
1,12,28,0,20,55,25,115
1,13,26,1,30,55,20,115
1,14,14,0,30,55,20,125
1,15,26,1,40,55,15,125
1,16,29,0,20,55,20,125
1,17,6,0,30,55,15,125
1,18,46,0,20,55,15,140
1,19,20,0,10,55,30,140
1,20,4,0,-5,70,30,140
1,21,9,1,0,70,30,140
1,22,17,1,-30,70,45,140
1,23,4,1,-20,70,45,140
1,24,29,1,-20,90,25,140
1,25,43,1,-20,90,30,135
1,26,14,0,-20,90,30,145
1,27,2,0,-30,90,50,145
1,28,28,0,-50,90,50,160
1,29,25,0,-50,85,50,160
1,30,22,0,-60,85,60,160
1,31,9,0,-70,85,60,165
1,32,43,0,-50,85,50,165
1,33,21,0,-60,85,70,165
1,34,23,0,-70,85,70,175
1,35,28,0,-90,85,70,190
1,36,21,0,-100,85,90,190
1,37,8,0,-100,90,80,190
1,38,30,1,-100,90,90,190
1,39,43,1,-100,90,95,185
1,40,20,0,-110,90,110,185
1,41,44,0,-110,90,120,195
1,42,12,0,-115,100,120,195
1,43,46,1,-110,100,120,195
1,44,21,1,-105,100,110,195
1,45,17,0,-125,120,110,195
1,46,13,0,-125,120,110,215
1,47,29,1,-125,140,90,215
1,48,41,0,-135,155,90,215
1,49,37,0,-150,175,90,215
1,50,23,0,-160,175,90,225
1,51,20,0,-170,175,105,225
1,52,48,1,-170,175,105,225
1,53,37,0,-185,195,105,225
1,54,19,0,-185,195,105,225
1,55,40,1,-185,185,115,225
1,56,43,0,-165,185,105,225
1,57,44,1,-160,185,105,225
1,58,19,0,-160,185,105,225
1,59,21,1,-155,185,95,225
1,60,41,0,-165,200,95,225
1,61,37,0,-180,220,95,225
1,62,6,0,-170,220,90,225
1,63,8,1,-185,220,90,235
1,64,3,0,-170,220,85,235
1,65,6,1,-180,220,85,245
1,66,30,1,-180,220,95,245
1,67,5,0,-190,220,100,245
1,68,23,1,-190,225,95,245
1,69,42,0,-205,225,95,260
1,70,1,0,-195,225,85,260
1,71,36,1,-195,235,85,260
1,72,5,1,-190,235,75,260
1,73,14,1,-190,245,75,260
1,74,39,0,-200,260,75,260
1,75,4,0,-215,275,75,260
1,76,22,0,-225,275,85,260
1,77,38,1,-220,275,85,260
1,78,20,0,-230,275,100,260
1,79,20,0,-240,275,115,260
1,80,30,0,-240,275,105,285
1,81,44,0,-240,275,115,295
1,82,27,1,-240,290,110,295
1,83,22,0,-250,290,120,295
1,84,7,1,-245,290,120,295
1,85,7,1,-240,290,120,295
1,86,18,1,-230,290,120,295
1,87,42,1,-230,295,120,295
1,88,42,1,-230,300,120,295
1,89,44,0,-230,300,130,305
1,90,19,0,-230,300,130,305
1,91,10,0,-240,310,130,305
1,92,41,1,-235,300,130,305
1,93,42,0,-250,300,130,320
1,94,7,0,-265,310,130,320
1,95,43,0,-245,310,120,320
1,96,40,1,-245,300,130,320
1,97,43,1,-245,300,135,315
1,98,28,1,-235,300,135,315
1,99,19,1,-235,300,135,315
2,0,38,1,55,50,50,50
2,1,9,1,60,50,50,50
2,2,46,1,65,50,50,50
2,3,47,0,65,50,50,65
2,4,27,0,75,40,50,65
2,5,23,1,75,45,45,65
2,6,3,1,65,45,45,75
2,7,15,1,65,50,45,75
2,8,26,1,75,50,40,75
2,9,29,1,75,70,20,75
2,10,29,0,55,70,25,75
2,11,41,0,45,85,25,75
2,12,10,0,35,95,25,75
2,13,9,0,25,95,25,80
2,14,9,0,15,95,25,85
2,15,18,0,-15,95,25,115
2,16,24,1,-10,95,25,115
2,17,47,0,-10,95,25,130
2,18,23,0,-20,95,25,140
2,19,17,0,-40,115,25,140
2,20,18,0,-70,115,25,170
2,21,37,1,-60,115,25,170
2,22,47,1,-60,115,25,170
2,23,27,1,-60,130,20,170
2,24,11,0,-65,130,20,170
2,25,29,1,-65,150,0,170
2,26,13,0,-65,150,0,190
2,27,20,0,-75,150,15,190
2,28,29,1,-75,170,-5,190
2,29,48,0,-75,170,-5,220
