run,turn,card_id,choice,wealth,morale,stability,progress
3,83,10,0,-15,225,-45,350
3,84,4,0,-30,240,-45,350
3,85,28,1,-20,240,-45,350
3,86,17,1,-50,240,-30,350
3,87,39,1,-45,240,-30,350
3,88,26,1,-35,240,-35,350
3,89,35,0,-35,240,-35,350
3,90,45,1,-35,250,-35,350
3,91,8,1,-50,250,-35,360
3,92,9,0,-60,250,-35,365
3,93,19,1,-60,250,-35,365
3,94,18,0,-90,250,-35,395
3,95,20,1,-90,260,-50,395
3,96,36,0,-90,255,-50,410
3,97,12,0,-95,265,-50,410
3,98,23,1,-95,270,-55,410
3,99,30,1,-95,270,-45,410
4,0,6,0,60,50,45,50
4,1,17,0,40,70,45,50
4,2,28,0,20,70,45,65
4,3,47,0,20,70,45,80
4,4,49,0,20,65,45,95
4,5,43,1,20,65,50,90
4,6,26,0,10,65,50,100
4,7,41,1,15,55,50,100
4,8,18,1,25,55,50,100
4,9,37,0,10,75,50,100
4,10,23,0,0,75,50,110
4,11,50,1,0,85,50,110
4,12,47,0,0,85,50,125
4,13,12,0,-5,95,50,125
4,14,26,0,-15,95,50,135
4,15,28,0,-35,95,50,150
4,16,27,1,-35,110,45,150
4,17,18,1,-25,110,45,150
4,18,44,0,-25,110,55,160
4,19,10,1,-10,110,45,160
4,20,3,0,5,110,40,160
4,21,46,1,10,110,40,160
4,22,22,1,10,115,30,160
4,23,20,1,10,125,15,160
4,24,9,1,15,125,15,160
4,25,14,0,15,125,15,170
4,26,6,1,5,125,15,180
4,27,19,0,5,125,15,180
4,28,2,0,-5,125,35,180
4,29,23,0,-15,125,35,190
4,30,27,1,-15,140,30,190
4,31,16,0,-30,150,30,190
4,32,29,0,-50,150,35,190
4,33,14,1,-50,160,35,190
4,34,31,0,-50,170,25,190
4,35,38,1,-45,170,25,190
4,36,37,0,-60,190,25,190
4,37,8,1,-75,190,25,200
4,38,22,1,-75,195,15,200
4,39,11,1,-70,195,15,200
4,40,30,1,-70,195,25,200
4,41,13,0,-70,195,25,220
4,42,14,0,-70,195,25,230
4,43,41,1,-65,185,25,230
4,44,47,1,-65,185,25,230
4,45,20,1,-65,195,10,230
4,46,40,1,-65,185,20,230
4,47,38,1,-60,185,20,230
4,48,28,1,-50,185,20,230
4,49,1,0,-40,185,10,230
4,50,48,0,-40,185,10,260
4,51,43,1,-40,185,15,255
4,52,16,1,-40,185,5,255
4,53,44,1,-35,185,5,255
4,54,42,0,-50,185,5,270
4,55,40,0,-50,195,-5,270
4,56,38,0,-60,205,-5,270
4,57,9,0,-70,205,-5,275
4,58,8,1,-85,205,-5,285
4,59,46,1,-80,205,-5,285
